"PREF IBKR","CMON","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CGRUP","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","TIME TO DIV","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","Aug4_chg","Oct19_chg","Aug4_chg_norm","Oct19_chg_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm","ADV_6M","ADV_3M","ADV_15D","AVG_ADV","SOLIDITY_SCORE","CUR_YIELD","FINAL_THG","SOLIDITY_WEIGHT_USED","YIELD_WEIGHT_USED"
"JPM PRM","JPM","","11.5","10/29/2024","","","0.2600","4.2000","20.7000","17.1700","c425","17.9600","0.7900","-2.7400","18.1300","19.1600","-0.9200","-6.2600","17.2500","21.2400","16.9600","21.6800","28.0000","17.7800","0.5300","-3.4600","51.2900","55.4400","73.3800","47.1200","-2.9200","0.6100","46.5200","67.0000","-3.9000","0.8200","51.1800","81.1400","187185.0000","164882.0000","185220.0000","179095.0000","81.9200","0.0591","420.8400","1.1200","2103.8600"
"JSM","NAVI","BB","7.5","12/13/2024","","","0.3800","6.0000","23.5000","16.7000","c600","18.8200","2.1200","-4.6800","18.4200","19.2800","2.1900","-2.3700","16.5100","20.8300","16.0600","21.8200","73.0000","18.7500","2.2400","-2.0800","36.1800","39.1000","32.7900","29.0800","-4.7500","2.0500","62.4300","54.1200","-3.0700","2.6900","40.3000","62.5400","14958.0000","13581.0000","14093.0000","14210.0000","43.1700","0.0800","364.1000","1.1200","2103.8600"
"KEY PRJ","KEY","","10.5","11/27/2024","","","0.3500","5.6500","25.3600","16.1700","c550","21.1700","5.0000","-4.1900","21.3900","21.8800","-1.0100","-3.2300","19.9700","24.1800","15.1900","24.1800","57.0000","21.0400","1.0700","-3.1400","51.7200","42.7100","60.5600","42.9400","-4.3200","4.8700","58.7000","28.8800","-3.1400","5.8500","41.2100","31.0900","27960.0000","24867.0000","23635.0000","25487.0000","57.4600","0.0671","358.3600","1.1200","2103.8600"
"KEY PRK","KEY","","10.5","11/27/2024","","","0.3500","5.6300","26.1700","16.0500","c550","21.2500","5.2000","-4.9200","21.2000","21.8700","0.2400","-2.8400","19.7600","24.4300","14.9900","24.4300","57.0000","21.1200","1.3600","-3.3100","45.6500","41.0800","53.6800","45.1600","-5.0500","5.0700","65.0400","27.0900","-3.3100","6.1300","43.4400","28.3100","23824.0000","20550.0000","21140.0000","21838.0000","57.4600","0.0666","350.7100","1.1200","2103.8600"
"KIM PRL","KIM","","11.5","12/27/2024","","","0.3200","5.1300","25.4200","19.2000","c500","19.8200","0.6200","-5.6000","20.2700","21.3400","-2.2300","-7.1200","19.3900","23.6800","18.8100","24.1800","87.0000","19.8100","0.4200","-3.8700","57.6500","59.0500","75.9900","52.4800","-5.6100","0.6100","69.9100","67.0000","-4.3700","1.0000","57.3400","79.3500","11649.0000","10895.0000","6937.0000","9827.0000","63.2500","0.0647","427.0600","1.1200","2103.8600"
"KIM PRM","KIM","","11.5","12/27/2024","","","0.3300","5.2500","25.4000","19.8300","c525","20.1600","0.3300","-5.2400","20.6400","21.8700","-2.3300","-7.8100","19.7100","24.4300","19.7100","25.1600","87.0000","20.1500","0.4400","-4.2800","58.1400","61.9500","75.5200","57.8400","-5.2500","0.3200","66.7800","69.6000","-5.0100","0.4400","65.7400","84.9300","15684.0000","16394.0000","14415.0000","15498.0000","63.2500","0.0651","438.1000","1.1200","2103.8600"
"KREF PRA","KREF","","NR","11/27/2024","4/16/2026","","0.4100","6.5000","23.3700","16.1800","c650","20.8500","4.6700","-2.5200","19.3800","19.9400","7.5800","4.5600","17.9800","21.8800","15.8100","23.6600","57.0000","20.7000","2.7200","-1.1800","10.0000","10.0000","21.3900","17.3200","-2.6700","4.5200","44.3500","32.0100","-2.9600","4.8900","38.8500","40.6500","17032.0000","16907.0000","15068.0000","16336.0000","37.8900","0.0785","284.9700","1.1200","2103.8600"
"MBINN","MBIN","","NR","12/13/2024","","","0.3800","6.0000","24.2300","16.5000","c600","19.7800","3.2700","-4.4600","20.3300","21.4000","-2.7400","-7.6300","18.3100","24.2600","16.3100","24.3400","73.0000","19.7000","1.3900","-4.5600","60.1300","61.1900","52.9700","61.5000","-4.5300","3.2000","60.5200","43.8300","-4.6400","3.3900","60.8900","55.5700","7563.0000","6825.0000","4792.0000","6394.0000","40.3900","0.0761","406.0400","1.1200","2103.8600"
"MET PRE","MET","","12","11/27/2024","","","0.3500","5.6300","26.5000","21.2200","c550","23.7600","2.5400","-2.7400","23.6200","24.1700","0.5800","-1.7200","22.6600","25.1900","21.0300","25.2300","57.0000","23.6300","0.9700","-1.5600","44.0000","36.3700","62.9400","22.2900","-2.8700","2.4100","46.0900","50.8900","-1.6000","2.6000","21.0200","63.4300","53590.0000","45382.0000","54509.0000","51160.0000","73.0900","0.0596","354.8200","1.1200","2103.8600"
"MET PRF","MET","","12","11/27/2024","","","0.3000","4.7500","24.5600","18.5000","c475","19.6700","1.1700","-4.8900","19.8700","20.8600","-0.9900","-5.6900","19.0000","23.2100","18.3300","23.2100","57.0000","19.5600","0.5600","-3.6500","51.6300","53.0400","72.6700","49.6100","-5.0000","1.0600","64.6100","62.9800","-3.6500","1.2300","47.9000","77.0600","88400.0000","91183.0000","127054.0000","102213.0000","73.0900","0.0607","411.9800","1.1200","2103.8600"
"MFA PRB","MFA","","NR","11/27/2024","4/15/2018","","0.4700","7.5000","21.9200","18.3400","c750","20.5700","2.2300","-1.3500","20.9900","21.5700","-2.0000","-4.6400","18.2700","23.6700","17.0100","23.6700","57.0000","20.4000","2.1300","-3.2700","56.5300","48.6400","35.4000","44.6400","-1.5200","2.0600","34.3500","54.0300","-3.2700","3.3900","42.9200","55.5700","16330.0000","15141.0000","11833.0000","14435.0000","20.6500","0.0919","384.1100","1.1200","2103.8600"
"MGR","AMG","BB","12","12/27/2024","","","0.3700","5.8800","26.2900","19.6000","c575","20.5500","1.3200","-5.3700","21.0800","22.6400","-0.7400","-7.6100","19.9100","25.1500","19.4300","25.1700","87.0000","20.9100","1.0000","-4.2400","50.4100","61.1100","62.2300","57.3200","-5.3800","1.3100","67.9100","60.7400","-4.2600","1.4800","55.9000","74.5800","17708.0000","16566.0000","15313.0000","16529.0000","65.5000","0.0703","430.8600","1.1200","2103.8600"
"MGRD","AMG","BB","12","12/27/2024","","","0.2600","4.2000","19.5000","15.1800","c425","15.1700","0.2500","-4.0700","15.4800","16.5500","-0.3000","-6.7500","14.6100","18.3700","14.6100","18.3700","87.0000","15.4200","0.8100","-2.9500","48.2800","57.5000","66.7400","40.4600","-4.0800","0.2400","56.6100","70.3100","-2.9500","0.8100","38.7200","81.2400","10256.0000","10147.0000","10419.0000","10274.0000","65.5000","0.0681","415.3000","1.1200","2103.8600"
"MS PRK","MS","","11","12/27/2024","","","0.3700","5.8500","26.3800","21.4000","c575","23.8700","2.4700","-2.5100","23.5800","24.4500","1.2200","-2.3700","22.5200","25.7500","21.1600","26.0000","87.0000","23.8600","1.3400","-1.8900","40.8900","39.1000","54.1500","26.6000","-2.5200","2.4600","43.0400","50.4500","-2.1400","2.7000","28.1000","62.4400","80818.0000","86151.0000","85743.0000","84237.0000","77.8200","0.0613","364.1000","1.1200","2103.8600"
"MS PRL","MS","","11","12/27/2024","","","0.3000","4.8800","24.0000","18.3200","c475","20.0800","1.7600","-3.9200","20.1300","21.7400","-0.2600","-7.6300","19.2600","24.3200","18.1500","24.4900","87.0000","20.0700","0.8100","-4.2500","48.0800","61.1900","66.7400","57.4500","-3.9300","1.7500","55.3000","56.8000","-4.4200","1.9200","58.0000","70.2000","26852.0000","27956.0000","30469.0000","28425.0000","77.8200","0.0608","420.3800","1.1200","2103.8600"
"NCV PRA","NCV","","NR","12/5/2024","","","0.3500","5.6300","24.2800","20.9200","c550","21.1800","0.2600","-3.1000","21.7600","22.0100","-2.6800","-3.7700","20.7200","23.1800","20.6000","23.6400","65.0000","21.0800","0.3600","-2.1000","59.8400","44.9800","77.4200","29.3500","-3.2000","0.1600","48.9600","71.0300","-2.5600","0.4800","33.6100","84.5300","5519.0000","3507.0000","4848.0000","4625.0000","23.6100","0.0668","359.6600","1.1200","2103.8600"
"NCZ PRA","NCZ","","NR","12/5/2024","","","0.3400","5.5000","24.2800","20.5000","c550","20.8400","0.3400","-3.4400","21.0200","21.0500","-0.8400","-0.9900","19.9200","22.0900","19.9200","22.3800","65.0000","20.7500","0.8300","-1.3400","50.9000","33.3100","66.2600","19.4100","-3.5300","0.2500","51.8300","70.2200","-1.6300","0.8300","21.4100","81.0400","8815.0000","8505.0000","3157.0000","6826.0000","23.8500","0.0663","330.1200","1.1200","2103.8600"
"NRUC","-","BB","13","11/1/2024","","","0.3400","5.5000","25.2200","21.7500","c550","24.1900","2.4400","-1.0300","23.5300","24.1200","2.8000","0.2900","22.3800","25.7500","21.6400","25.7500","31.0000","23.9700","1.5900","-1.7800","33.2200","27.9300","48.2200","25.1600","-1.2500","2.2200","32.0000","52.6000","-1.7800","2.3300","23.3800","66.1200","15479.0000","14521.0000","12745.0000","14248.0000","45.3300","0.0574","300.9300","1.1200","2103.8600"
"NSA PRA","NSA","","NR","12/13/2024","","","0.3800","6.0000","25.3000","20.6500","c600","22.9900","2.3400","-2.3100","22.4800","22.8600","2.2700","0.5800","21.1200","24.8000","20.1600","25.2000","73.0000","22.9200","1.8000","-1.8800","35.7900","26.7100","43.2300","26.4700","-2.3800","2.2700","41.8300","52.1500","-2.2800","2.7600","29.9300","61.8400","11964.0000","11715.0000","14593.0000","12757.0000","40.7700","0.0654","313.8800","1.1200","2103.8600"
"NTRSO","NTRS","","13","12/13/2024","","","0.2900","4.7000","24.8500","18.3000","c475","19.4000","1.1000","-5.4500","19.7400","20.8700","-1.7000","-7.0400","18.7400","24.2900","18.1000","24.2900","73.0000","19.3500","0.6100","-4.9400","55.0800","58.7100","71.4800","66.4700","-5.5000","1.0500","68.9600","63.0600","-4.9400","1.2500","64.8200","76.8700","26881.0000","24373.0000","27508.0000","26254.0000","70.1200","0.0607","427.9400","1.1200","2103.8600"
"NYMTZ","NYMT","","NR","1/2/2025","","","0.4400","7.0000","19.7800","16.6000","c700","18.7500","2.1500","-1.0300","18.5200","19.3500","1.2200","-3.0800","16.7500","21.5000","15.3100","21.7500","3.0000","18.3200","1.5700","-3.1800","40.8900","42.0800","48.6900","43.4600","-1.4600","1.7200","33.8300","57.0700","-3.4300","3.0100","45.0200","59.3500","4187.0000","3669.0000","3352.0000","3736.0000","21.4100","0.0955","384.7100","1.1200","2103.8600"
"OPP PRA","OPP","","16","11/1/2024","","","0.2700","4.3800","20.8700","16.9800","c425","17.1400","0.1600","-3.7300","17.9000","18.5600","-4.2500","-7.6500","16.5400","19.9500","16.5400","20.2100","31.0000","16.9600","0.4200","-2.9900","67.4600","61.2800","75.9900","40.9800","-3.9100","-0.0200","55.1300","72.6400","-3.2500","0.4200","42.6600","85.1200","4783.0000","4457.0000","6630.0000","5290.0000","58.6100","0.0646","422.0600","1.1200","2103.8600"
"OPP PRB","OPP","","16","11/1/2024","2/15/2027","","0.3000","4.7500","21.4300","18.7000","c475","18.4400","-0.2600","-2.9900","19.4200","20.0000","-5.0700","-7.8000","18.3400","21.1300","18.3100","22.3100","31.0000","18.2400","-0.1000","-2.8900","71.4500","61.9100","88.3400","39.6700","-3.1900","-0.4600","48.8700","76.5800","-4.0700","-0.0700","53.4100","90.0000","2995.0000","2066.0000","3214.0000","2758.0000","58.6100","0.0651","435.9300","1.1200","2103.8600"
"OZKAP","OZK","","9","11/1/2024","11/15/2026","","0.2900","4.6300","20.7800","14.6100","c450","16.3100","1.7000","-4.4700","16.6100","17.0400","-1.8100","-4.2700","15.6900","19.8800","14.3700","19.8800","31.0000","16.1200","0.4300","-3.7600","55.6100","47.0800","75.7600","51.0500","-4.6600","1.5100","61.6500","58.9500","-3.7600","1.7500","49.3400","71.8900","29164.0000","24480.0000","21925.0000","25190.0000","55.2000","0.0718","410.4100","1.1200","2103.8600"
"PEB PRE","PEB","","NR","12/27/2024","","","0.4000","6.3800","24.7100","18.3200","c625","18.1500","-0.1700","-6.5600","18.0900","20.2400","0.3200","-10.3500","16.2700","23.2200","16.2700","23.2200","87.0000","18.1400","1.8700","-5.0800","45.2600","72.6100","41.5700","68.3000","-6.5700","-0.1800","78.2600","74.0700","-5.0800","1.8700","66.6600","70.7000","9006.0000","7565.0000","3961.0000","6844.0000","35.5200","0.0879","446.4600","1.1200","2103.8600"
"PEB PRF","PEB","","NR","12/27/2024","","","0.3900","6.3000","23.5200","18.5600","c625","18.4500","-0.1100","-5.0700","18.3100","20.3500","0.7900","-9.3300","16.8500","23.7500","16.8500","23.7500","87.0000","18.4400","1.5900","-5.3100","42.9800","68.3300","48.2200","71.3100","-5.0800","-0.1200","65.3000","73.5300","-5.3100","1.5900","69.6700","73.4800","7189.0000","8268.0000","1867.0000","5774.0000","35.5200","0.0854","439.1400","1.1200","2103.8600"
"PEB PRG","PEB","","NR","12/27/2024","","","0.4000","6.3800","23.4000","18.0000","c625","18.3700","0.3700","-5.0300","18.3000","20.0900","0.3800","-8.5700","16.6000","22.9400","16.6000","23.1800","87.0000","18.3600","1.7600","-4.5800","44.9700","65.1400","44.1800","61.7600","-5.0400","0.3600","64.9600","69.2400","-4.8200","1.7600","63.2500","71.7900","9443.0000","8821.0000","4193.0000","7486.0000","35.5200","0.0869","431.4600","1.1200","2103.8600"
"PEB PRH","PEB","","NR","12/27/2024","","","0.3600","5.7000","21.0100","16.3800","c550","16.3600","-0.0200","-4.6500","16.5400","18.1700","-1.0600","-9.9800","15.5100","21.1200","15.0200","21.1200","87.0000","16.3500","0.8400","-4.7700","51.9700","71.0600","66.0200","64.2500","-4.6600","-0.0300","61.6500","72.7300","-4.7700","1.3300","62.5900","76.0700","11295.0000","7199.0000","6454.0000","8316.0000","35.5200","0.0872","452.2500","1.1200","2103.8600"
"PFH","PRU","BB","13","11/15/2024","9/1/2025","","0.2600","4.1300","22.6100","17.3500","c400","17.3900","0.0400","-5.2200","17.4700","18.9000","-0.4600","-8.0000","16.6200","21.2700","16.6200","21.5900","45.0000","17.2600","0.6400","-4.0100","49.0500","62.7500","70.7700","54.3100","-5.3500","-0.0900","67.6500","73.2700","-4.3300","0.6400","56.8200","82.9400","30861.0000","30002.0000","33900.0000","31588.0000","71.0800","0.0598","425.4800","1.1200","2103.8600"
"PRH","PRU","BB","13","11/15/2024","","","0.3700","5.9500","","23.7900","c575","25.1400","1.3500","","24.7900","25.5300","1.4000","-1.5400","23.5900","26.8900","23.1700","26.9500","45.0000","24.9600","1.3700","-1.9300","40.0200","35.6200","53.4400","27.1200","","1.1700","41.6200","61.9900","-1.9900","1.7900","26.1300","71.4900","18925.0000","22952.0000","15463.0000","19113.0000","71.0800","0.0596","355.8700","1.1200","2103.8600"
"PRS","PRU","BB","13","11/1/2024","8/15/2023","","0.3500","5.6300","26.1600","22.5200","c550","23.7100","1.1900","-2.4500","23.2200","24.1300","2.1000","-1.7500","22.3500","25.4200","22.3100","25.4200","31.0000","23.4800","1.1300","-1.9400","36.6200","36.5000","59.1400","27.2500","-2.6800","0.9600","44.4300","63.8700","-1.9400","1.1700","25.4800","77.6600","30406.0000","28478.0000","31338.0000","30074.0000","71.0800","0.0599","360.7600","1.1200","2103.8600"
"PSA PRF","PSA","","13.5","12/12/2024","","","0.3200","5.1500","25.8400","20.8700","c500","20.5800","-0.2900","-5.2600","21.0600","22.6700","-2.3000","-9.2000","19.8700","25.0800","19.8700","25.1100","72.0000","20.5200","0.6500","-4.5600","57.9900","67.7800","70.5300","61.5000","-5.3200","-0.3500","67.3900","75.5900","-4.5900","0.6500","60.2300","82.8400","18539.0000","14635.0000","17927.0000","17034.0000","71.4900","0.0627","446.2200","1.1200","2103.8600"
"PSA PRG","PSA","","13.5","12/12/2024","","","0.3200","5.0500","25.8700","21.1100","c500","20.2500","-0.8600","-5.6200","20.8600","22.4500","-2.9500","-9.7900","19.8700","25.0000","19.8700","25.0600","72.0000","20.1900","0.3200","-4.8100","61.1500","70.2600","78.3700","64.7700","-5.6800","-0.9200","70.5200","80.6900","-4.8700","0.3200","63.9000","86.1200","17025.0000","13952.0000","10733.0000","13903.0000","71.4900","0.0625","458.6800","1.1200","2103.8600"
"PSA PRH","PSA","","13.5","12/12/2024","","","0.3500","5.6000","26.9600","22.7600","c550","22.8000","0.0400","-4.1600","22.9800","24.1700","-0.8000","-5.6700","20.8500","25.7000","20.8500","25.9500","72.0000","22.7300","1.8800","-2.9700","50.7000","52.9600","41.3400","40.7200","-4.2300","-0.0300","57.9100","72.7300","-3.2200","1.8800","42.2600","70.6000","19567.0000","19370.0000","14478.0000","17805.0000","71.4900","0.0616","394.6900","1.1200","2103.8600"
"PSA PRI","PSA","","13.5","12/12/2024","","","0.3000","4.8800","25.8000","19.4400","c475","19.4400","0.0000","-6.3600","19.8600","21.4000","-2.1300","-9.1700","18.6900","23.7200","18.6900","23.9400","72.0000","19.3800","0.6900","-4.3400","57.1600","67.6600","69.5800","58.6300","-6.4200","-0.0600","76.9600","73.0000","-4.5600","0.6900","59.8400","82.4400","15908.0000","12425.0000","10815.0000","13049.0000","71.4900","0.0630","445.4400","1.1200","2103.8600"
"PSA PRJ","PSA","","13.5","12/12/2024","","","0.2900","4.7000","25.0800","18.2500","c475","18.6900","0.4400","-6.3900","19.1300","20.5300","-2.3200","-8.9700","18.2500","23.2100","17.9400","23.2100","72.0000","18.6300","0.3800","-4.5800","58.0900","66.8200","76.9400","61.7600","-6.4500","0.3800","77.2200","69.0600","-4.5800","0.6900","60.1000","82.4400","15014.0000","14716.0000","12785.0000","14172.0000","71.4900","0.0631","447.9800","1.1200","2103.8600"
"PSA PRK","PSA","","13.5","12/12/2024","","","0.3000","4.7500","25.8000","18.4000","c475","18.9200","0.5100","-6.8900","19.3500","20.7200","-2.2600","-8.7400","18.4400","23.1600","18.1600","23.2100","72.0000","18.8500","0.4100","-4.3100","57.8000","65.8500","76.2300","58.2400","-6.9500","0.4500","81.5700","68.4300","-4.3600","0.6900","57.2100","82.4400","16810.0000","18044.0000","15703.0000","16852.0000","71.4900","0.0630","444.7800","1.1200","2103.8600"
"PSA PRL","PSA","","13.5","12/12/2024","","","0.2900","4.6300","24.8400","18.1700","c450","18.5800","0.4100","-6.2600","18.9300","20.2300","-1.8400","-8.1600","17.5200","22.7500","17.5200","22.8900","72.0000","18.5200","1.0000","-4.2300","55.7600","63.4200","62.2300","57.1900","-6.3200","0.3500","76.0900","69.3300","-4.3700","1.0000","57.3400","79.3500","29812.0000","26880.0000","29821.0000","28838.0000","71.4900","0.0625","433.1400","1.1200","2103.8600"
"PSA PRM","PSA","","13.5","12/12/2024","","","0.2600","4.1300","22.7900","16.0500","c400","16.5800","0.5300","-6.2100","16.9500","18.2300","-2.2100","-9.0700","16.1100","20.5200","15.8200","20.7900","72.0000","16.5300","0.4200","-3.9900","57.5500","67.2400","75.9900","54.0500","-6.2600","0.4800","75.5700","68.1700","-4.2600","0.7100","55.9000","82.2400","9087.0000","8769.0000","11110.0000","9655.0000","71.4900","0.0625","441.6100","1.1200","2103.8600"
"PSA PRN","PSA","","13.5","12/12/2024","","","0.2400","3.8800","21.0200","15.1200","c400","15.5700","0.4500","-5.4500","15.9000","16.9900","-2.0500","-8.3300","15.1000","19.1200","14.9000","19.2300","72.0000","15.5200","0.4200","-3.6000","56.7800","64.1300","75.9900","48.9500","-5.5000","0.4000","68.9600","68.8800","-3.7100","0.6200","48.6900","83.1300","17249.0000","18548.0000","25800.0000","20532.0000","71.4900","0.0625","433.4800","1.1200","2103.8600"
"PSA PRO","PSA","","13.5","12/12/2024","11/17/2025","","0.2400","3.9000","20.2900","15.5300","c400","15.6100","0.0800","-4.6800","15.9600","17.0600","-2.1800","-8.4900","15.0700","18.9700","15.0700","19.1300","72.0000","15.5600","0.4900","-3.4100","57.4100","64.8000","74.3300","46.4700","-4.7300","0.0300","62.2600","72.1900","-3.5700","0.4900","46.8500","84.4300","16880.0000","17388.0000","35804.0000","23357.0000","71.4900","0.0627","433.2400","1.1200","2103.8600"
"PSA PRP","PSA","","13.5","12/12/2024","","","0.2500","4.0000","20.8800","15.5400","c400","16.0100","0.4700","-4.8700","16.3100","17.5200","-1.8300","-8.6400","15.3900","19.7600","15.3700","19.9900","72.0000","15.9600","0.5700","-3.8000","55.7100","65.4300","72.4300","51.5700","-4.9200","0.4200","63.9100","68.7000","-4.0300","0.5900","52.8900","83.4300","41742.0000","37594.0000","47190.0000","42175.0000","71.4900","0.0627","434.7600","1.1200","2103.8600"
"PSA PRQ","PSA","","13.5","12/12/2024","","","0.2500","3.9500","20.8400","15.3100","c400","15.8300","0.5200","-5.0100","16.0600","17.2400","-1.4300","-8.1900","15.3000","19.2800","15.1700","19.4700","72.0000","15.7800","0.4800","-3.5000","53.7600","63.5400","74.5700","47.6500","-5.0600","0.4700","65.1300","68.2600","-3.6900","0.6100","48.4300","83.2300","13333.0000","13342.0000","18760.0000","15145.0000","71.4900","0.0626","429.4800","1.1200","2103.8600"
"PSA PRR","PSA","","13.5","12/12/2024","","","0.2500","4.0000","20.7800","15.5900","c400","15.9900","0.4000","-4.7900","16.2900","17.5800","-1.8600","-9.0500","15.4500","19.9900","15.3800","20.1600","72.0000","15.9400","0.4900","-4.0500","55.8500","67.1500","74.3300","54.8400","-4.8400","0.3500","63.2200","69.3300","-4.2200","0.5600","55.3800","83.7300","31482.0000","30954.0000","48648.0000","37028.0000","71.4900","0.0627","439.2800","1.1200","2103.8600"
"PSA PRS","PSA","","13.5","12/12/2024","","","0.2600","4.1000","21.1500","15.8300","c400","16.3700","0.5400","-4.7800","16.6600","18.0000","-1.7400","-9.0400","14.1800","20.4400","14.1800","20.4700","72.0000","16.3200","2.1400","-4.1200","55.2700","67.1100","35.1600","55.7500","-4.8300","0.4900","63.1300","68.0800","-4.1500","2.1400","54.4600","68.0100","16040.0000","17642.0000","12558.0000","15413.0000","71.4900","0.0628","418.3700","1.1200","2103.8600"
"PSEC PRA","PSEC","","9","10/16/2024","7/19/2026","","0.3300","5.3500","19.5500","15.2100","c525","15.7500","0.5400","-3.8000","16.2700","17.5500","-3.2100","-10.2400","14.5800","21.5400","14.0400","21.5400","15.0000","15.4700","0.8900","-6.0700","62.4100","72.1500","64.8400","81.2400","-4.0800","0.2600","56.6100","70.1300","-6.0700","1.4300","79.6400","75.0700","8170.0000","7482.0000","6654.0000","7435.0000","37.9100","0.0865","470.0500","1.1200","2103.8600"
"REGCO","REG","","NR","10/16/2024","","","0.3700","5.8800","","21.8500","c575","22.4200","0.5700","","22.4100","22.7500","0.0400","-1.4500","21.4300","24.7000","21.2000","24.9000","15.0000","22.1100","0.6800","-2.5900","46.6200","35.2400","69.8200","35.7500","","0.2600","41.6200","70.1300","-2.7900","0.9100","36.6200","80.2500","5701.0000","4926.0000","3073.0000","4567.0000","59.8800","0.0665","380.2100","1.1200","2103.8600"
"REGCP","REG","","NR","10/16/2024","","","0.3900","6.2500","","23.1000","c625","23.5200","0.4200","","23.3600","23.7600","0.6700","-0.9900","21.8800","25.4000","21.8800","25.6300","15.0000","23.2000","1.3200","-2.2000","43.5600","33.3100","54.6300","30.6500","","0.1000","41.6200","71.5700","-2.4300","1.3200","31.9000","76.1700","4869.0000","4320.0000","3327.0000","4172.0000","59.8800","0.0673","368.3200","1.1200","2103.8600"
"REXR PRB","REXR","","NR","12/13/2024","","","0.3700","5.8800","25.3900","21.1600","c575","22.3300","1.1700","-3.0600","23.0600","22.8600","-3.1600","-2.3200","22.1500","24.4300","20.6000","24.5700","73.0000","22.2600","0.1100","-2.1700","62.1700","38.8900","83.3500","30.2600","-3.1300","1.1000","48.3500","62.6200","-2.3100","1.6600","30.3300","72.7900","4993.0000","3802.0000","1147.0000","3314.0000","45.8700","0.0660","372.3000","1.1200","2103.8600"
"REXR PRC","REXR","","NR","11/15/2024","","","0.3500","5.6300","26.1000","20.0500","c550","20.9700","0.9100","-5.1400","21.7000","21.9900","-3.4300","-4.6600","20.1300","24.2200","19.7100","24.5400","45.0000","20.7900","0.6600","-3.4300","63.4800","48.7200","70.3000","46.7300","-5.3100","0.7400","67.3000","65.8400","-3.7500","1.0800","49.2100","78.5600","7423.0000","3790.0000","1425.0000","4213.0000","45.8700","0.0677","400.1000","1.1200","2103.8600"
"RF PRE","RF","","10","11/27/2024","","","0.2800","4.4500","20.6900","15.4500","c450","17.5000","2.0500","-3.1900","17.4200","18.1900","0.4400","-3.7800","16.4100","19.9800","14.1600","19.9800","57.0000","17.4000","0.9900","-2.5800","44.6800","45.0200","62.4600","35.6200","-3.2900","1.9500","49.7400","55.0100","-2.5800","3.2400","33.8700","57.0600","28617.0000","26343.0000","29117.0000","28026.0000","60.1700","0.0639","365.8800","1.1200","2103.8600"
"RNR PRF","RNR","","12","11/27/2024","","","0.3600","5.7500","25.1100","20.7100","c550","21.4300","0.7200","-3.6800","21.6000","23.0800","-0.7700","-7.1300","20.8000","24.9000","20.4300","25.1000","57.0000","21.3000","0.5000","-3.6000","50.5600","59.0900","74.0900","48.9500","-3.8100","0.5900","54.2600","67.1800","-3.8000","0.8700","49.8700","80.6500","16224.0000","18127.0000","21443.0000","18598.0000","64.6100","0.0675","423.6100","1.1200","2103.8600"
