PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CGRUP,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV
ACGLN,ACGL,,12,12/13/2024,,,0.28,4.55%,21.7,16.62,c450,17.15,0.53,-4.55,17.36,18.86,-1.18,-9.07,16.44,20.99,16.44,21.22,73.0,17.1,0.66,-3.89,52.550091,67.238845,70.296736,52.745098,-4.6,0.48,61.130435,68.165548,-4.12,0.66,54.065574,82.736318,33071,32833,35307,33737
ACGLO,ACGL,,11.5,12/13/2024,,,0.34,5.45%,24.93,19.34,c550,20.7,1.36,-4.23,20.76,22.07,-0.31,-6.19,19.99,23.82,19.2,24.5,73.0,20.64,0.65,-3.18,48.324226,55.144357,70.534125,43.464052,-4.29,1.3,58.434783,60.82774,-3.86,1.44,50.655738,74.975124,19885,18509,14436,17610
ACP PRA,ACP,,15,12/16/2024,,,0.33,5.25%,24.61,21.47,c525,20.6,-0.87,-4.01,21.36,22.9,-3.54,-10.06,20.05,25.0,19.65,26.33,76.0,20.55,0.5,-4.45,64.013358,71.396325,74.094955,60.065359,-4.06,-0.92,56.434783,80.693512,-5.78,0.9,75.836066,80.348259,2037,1795,1978,1936
ADC PRA,ADC,,11,10/22/2024,,,0.27,4.25%,20.92,15.83,c425,16.95,1.12,-3.97,17.43,18.46,-2.74,-8.18,16.91,21.94,15.71,21.94,21.0,16.74,-0.17,-5.2,60.127505,63.501312,90.0,69.869281,-4.18,0.91,57.478261,64.317673,-5.2,1.03,68.229508,79.054726,15340,11999,9936,12425
AEFC,AEG,BB,12.5,11/29/2024,12/15/2024,,0.32,5.10%,24.32,18.56,c500,19.72,1.16,-4.6,20.03,21.03,-1.53,-6.22,18.61,22.7,18.24,22.9,59.0,19.61,1.0,-3.09,54.250152,55.270341,62.225519,42.287582,-4.71,1.05,62.086957,63.064877,-3.29,1.37,43.180328,75.671642,37485,43497,34566,38516
AFGB,AFG,BB,11.5,12/13/2024,,,0.37,5.88%,26.83,21.4,c575,,-0.11,-5.54,21.58,23.2,-1.35,-8.25,20.47,25.05,20.47,25.27,73.0,21.22,0.75,-3.83,53.375835,63.795276,68.160237,51.960784,-5.61,-0.18,69.913043,74.071588,-4.05,0.75,53.147541,81.840796,7514,8899,7721,8045
AFGC,AFG,BB,11.5,11/29/2024,,,0.32,5.13%,26.22,18.46,c500,19.02,0.56,-7.2,19.12,20.71,-0.5,-8.15,18.01,23.42,18.01,23.42,59.0,18.91,0.9,-4.51,49.247116,63.375328,64.599407,60.849673,-7.31,0.45,84.695652,68.434004,-4.51,0.9,59.180328,80.348259,6187,5388,7524,6366
AFGD,AFG,BB,11.5,11/15/2024,,,0.35,5.63%,25.56,20.36,c550,20.47,0.11,-5.09,20.75,22.71,-1.35,-9.86,18.19,25.37,18.19,25.61,45.0,20.29,2.1,-5.08,53.375835,70.55643,36.11276,68.300654,-5.27,-0.07,66.956522,73.087248,-5.32,2.1,69.803279,68.40796,7274,7007,6548,6943
AFGE,AFG,BB,11.5,11/29/2024,,,0.28,4.50%,22.31,16.58,c450,,0.33,-5.4,16.99,18.58,-0.48,-8.97,16.11,20.77,16.11,21.78,59.0,16.81,0.7,-3.96,49.14997,66.818898,69.347181,53.660131,-5.5,0.23,68.956522,70.402685,-4.97,0.7,65.213115,82.338308,7572,7410,8651,7877
AGM PRD,AGM,,NR,12/27/2024,,,0.36,5.70%,25.28,21.04,c550,21.41,0.37,-3.87,21.97,22.88,-2.54,-6.41,20.92,24.86,20.26,25.7,87.0,21.4,0.48,-3.46,59.156041,56.068241,74.569733,47.124183,-3.88,0.36,54.869565,69.239374,-4.3,1.14,56.42623,77.960199,4367,4428,6988,5261
AGM PRE,AGM,,NR,12/27/2024,,,0.36,5.75%,24.9,21.55,c550,21.57,0.02,-3.33,22.03,23.0,-2.09,-6.22,21.25,24.4,20.31,24.93,87.0,21.56,0.31,-2.84,56.970249,55.270341,78.605341,39.019608,-3.34,0.01,50.173913,72.371365,-3.37,1.25,44.229508,76.865672,3635,1923,2617,2725
AGM PRF,AGM,,NR,12/27/2024,,,0.33,5.25%,22.5,19.9,c525,19.44,-0.46,-3.06,20.29,21.17,-4.18,-8.19,19.26,23.34,17.82,23.99,87.0,19.43,0.17,-3.91,67.12204,63.543307,81.928783,53.006536,-3.07,-0.47,47.826087,76.666667,-4.56,1.61,59.836066,73.283582,9180,8152,9428,8920
AGM PRG,AGM,,NR,12/27/2024,,,0.3,4.88%,21.8,18.2,c475,18.27,0.07,-3.53,18.89,19.79,-3.3,-7.69,17.88,22.15,17.16,22.37,87.0,18.26,0.38,-3.89,62.847602,61.44357,76.94362,52.745098,-3.54,0.06,51.913043,71.923937,-4.11,1.1,53.934426,78.358209,9043,8225,11870,9713
AHH PRA,AHH,,NR,1/2/2025,,,0.42,6.75%,26.43,20.5,c675,21.81,1.32,-4.61,21.94,22.47,-0.53,-2.9,19.88,24.93,19.52,25.76,3.0,21.41,1.53,-3.52,49.392835,41.328084,49.643917,47.908497,-5.02,0.91,64.782609,64.317673,-4.35,1.89,57.081967,70.497512,8170,5522,3627,5773
AIZN,AIZ,BB,10,12/27/2024,,,0.33,5.25%,24.0,17.74,c525,20.34,2.6,-3.66,19.66,20.92,3.44,-2.78,18.01,23.14,17.7,23.14,87.0,20.33,2.32,-2.81,30.10929,40.824147,30.890208,38.627451,-3.67,2.59,53.043478,49.284116,-2.81,2.63,36.885246,63.134328,11875,13182,11776,12278
ALL PRH,ALL,,12,12/27/2024,,,0.32,5.10%,24.78,18.74,c500,20.87,2.13,-3.91,21.08,22.21,-1.0,-6.04,19.37,24.85,18.38,24.97,87.0,20.86,1.49,-3.99,51.675774,54.514436,50.593472,54.052288,-3.92,2.12,55.217391,53.489933,-4.11,2.48,53.934426,64.626866,86243,72306,75646,78065
ALL PRI,ALL,,12,12/27/2024,,,0.3,4.75%,24.92,17.85,c475,19.45,1.6,-5.47,19.57,20.87,-0.62,-6.81,18.56,23.45,17.5,24.49,87.0,19.44,0.88,-4.01,49.829994,57.748031,65.074184,54.313725,-5.48,1.59,68.782609,58.232662,-5.05,1.94,66.262295,70.0,23508,20730,26601,23613
AMH PRG,AMH,,9,12/13/2024,,,0.37,5.88%,25.47,21.43,c575,22.77,1.34,-2.7,23.07,23.41,-1.29,-2.75,21.76,25.16,21.1,25.34,73.0,22.7,0.94,-2.46,53.084396,40.698163,63.649852,34.052288,-2.77,1.27,45.217391,61.096197,-2.64,1.6,34.655738,73.383085,8130,9785,10658,9524
AMH PRH,AMH,,9,12/13/2024,,,0.39,6.25%,25.85,22.38,c625,23.48,1.1,-2.37,24.12,24.32,-2.67,-3.45,22.7,25.49,21.74,26.25,73.0,23.41,0.71,-2.08,59.787492,43.637795,69.109792,29.084967,-2.44,1.03,42.347826,63.243848,-2.84,1.67,37.278689,72.686567,7882,7279,5991,7051
ASB PRE,ASB,,10,12/2/2024,,,0.37,5.88%,25.1,16.77,c575,20.4,3.62,-4.71,20.46,21.35,-0.35,-4.49,19.25,23.74,16.2,23.75,62.0,20.27,1.02,-3.47,48.518519,48.005249,61.750742,47.254902,-4.83,3.5,63.130435,41.14094,-3.48,4.07,45.672131,48.80597,3685,2928,3848,3487
ASB PRF,ASB,,10,12/2/2024,,,0.35,5.63%,25.25,16.4,c550,19.3,2.9,-5.95,19.61,20.43,-1.6,-5.52,18.51,22.45,15.3,22.91,62.0,19.19,0.68,-3.26,54.590164,52.330709,69.821958,44.509804,-6.06,2.79,73.826087,47.494407,-3.72,3.89,48.819672,50.597015,5919,4723,3373,4672
ATH PRB,-,,11,12/13/2024,,,0.35,5.63%,25.26,18.0,c550,19.8,1.8,-5.46,19.71,21.1,0.43,-6.18,18.34,23.53,16.66,23.53,73.0,19.73,1.39,-3.8,44.729812,55.102362,52.967359,51.568627,-5.53,1.73,69.217391,56.979866,-3.8,3.07,49.868852,58.756219,21477,21218,19488,20727
ATH PRD,-,,11,12/13/2024,,,0.3,4.88%,21.69,15.24,c475,16.89,1.65,-4.8,17.06,18.31,-0.97,-7.75,15.86,20.61,15.19,20.61,73.0,16.83,0.97,-3.78,51.530055,61.695538,62.937685,51.30719,-4.86,1.59,63.391304,58.232662,-3.78,1.64,49.606557,72.985075,46850,43301,47488,45880
AXS PRE,AXS,,11.5,12/26/2024,,,0.34,5.50%,24.04,19.26,c550,20.42,1.16,-3.62,20.54,21.45,-0.59,-4.82,19.45,23.21,18.77,23.66,86.0,20.4,0.95,-2.81,49.684274,49.391076,63.412463,38.627451,-3.64,1.14,52.782609,62.259508,-3.26,1.63,42.786885,73.084577,31353,28635,27234,29074
BAC PRB,BAC,,11,10/29/2024,6/16/2023,,0.38,6.00%,25.69,23.02,c600,24.87,1.85,-0.82,24.73,25.05,0.56,-0.71,24.04,25.63,22.3,25.63,28.0,24.61,0.57,-1.02,44.098361,32.131234,72.433234,15.228758,-1.08,1.59,30.521739,58.232662,-1.02,2.31,13.409836,66.318408,80844,92816,136655,103438
BAC PRK,BAC,,11,1/2/2025,,,0.37,5.88%,25.68,22.0,c575,24.46,2.46,-1.22,24.26,24.76,0.81,-1.2,23.35,25.32,21.51,25.43,3.0,24.1,0.75,-1.22,42.884032,34.188976,68.160237,17.843137,-1.58,2.1,34.869565,53.668904,-1.33,2.59,17.47541,63.532338,51814,55015,70449,59093
BAC PRM,BAC,,11,12/2/2024,,,0.34,5.38%,25.18,20.7,c525,21.78,1.08,-3.4,22.11,23.13,-1.5,-5.82,20.83,24.88,20.54,24.88,62.0,21.67,0.84,-3.21,54.104432,53.590551,66.023739,43.856209,-3.51,0.97,51.652174,63.780761,-3.21,1.13,42.131148,78.059701,90513,82259,113292,95355
BAC PRN,BAC,,11,12/2/2024,,,0.31,5.00%,23.9,19.25,c500,20.38,1.13,-3.52,20.53,21.71,-0.72,-6.14,19.37,23.86,19.0,24.04,62.0,20.28,0.91,-3.58,50.315726,54.934383,64.362018,48.69281,-3.62,1.03,52.608696,63.243848,-3.76,1.28,49.344262,76.567164,108347,102306,157451,122702
BAC PRO,BAC,,11,10/15/2024,11/3/2025,,0.27,4.38%,21.39,16.54,c425,,1.34,-3.51,18.03,19.21,-0.81,-6.91,17.14,20.92,16.35,21.54,14.0,17.65,0.51,-3.27,50.752884,58.167979,73.857567,44.640523,-3.74,1.11,53.652174,62.527964,-3.89,1.3,51.04918,76.368159,78007,80819,100557,86461
BAC PRP,BAC,,11,10/15/2024,,,0.26,4.12%,20.8,15.57,c400,16.89,1.32,-3.91,17.05,18.16,-0.94,-6.97,16.17,20.0,15.4,20.58,14.0,16.67,0.5,-3.33,51.384335,58.419948,74.094955,45.424837,-4.13,1.1,57.043478,62.61745,-3.91,1.27,51.311475,76.666667,68978,63597,83404,71993
BAC PRQ,BAC,,11,11/1/2024,,,0.27,4.25%,20.46,16.11,c425,17.34,1.23,-3.12,17.48,18.58,-0.82,-6.68,16.56,20.51,15.98,21.0,31.0,17.16,0.6,-3.35,50.801457,57.2021,71.721068,45.686275,-3.3,1.05,49.826087,63.064877,-3.84,1.18,50.393443,77.562189,106481,107420,133213,115705
BAC PRS,BAC,,11,11/1/2024,,,0.3,4.75%,22.49,18.24,c475,,1.1,-3.15,19.56,20.79,-1.1,-6.97,18.55,23.05,17.82,23.44,31.0,19.14,0.59,-3.91,52.161506,58.419948,71.958457,53.006536,-3.35,0.9,50.26087,64.407159,-4.3,1.32,56.42623,76.169154,47421,39513,56478,47804
BCV PRA,BCV,,16,12/16/2024,,,0.34,5.39%,24.69,22.15,c525,21.76,-0.39,-2.93,22.19,22.92,-1.92,-5.07,21.51,24.71,21.51,25.26,76.0,21.71,0.2,-3.0,56.144505,50.440945,81.216617,41.111111,-2.98,-0.44,47.043478,76.39821,-3.55,0.2,46.590164,87.313433,1612,1503,614,1243
BFS PRD,BFS,,NR,12/27/2024,,,0.38,6.13%,24.15,19.3,c625,20.93,1.63,-3.22,20.98,21.46,-0.24,-2.48,19.3,23.76,19.01,23.95,87.0,20.92,1.62,-2.84,47.984214,39.564304,47.507418,39.019608,-3.23,1.62,49.217391,57.964206,-3.03,1.91,39.770492,70.298507,3324,2441,677,2147
BFS PRE,BFS,,NR,12/27/2024,,,0.38,6.00%,24.6,18.93,c600,21.55,2.62,-3.05,20.83,21.45,3.45,0.47,18.34,24.06,18.34,24.49,87.0,21.54,3.2,-2.52,30.060716,27.175853,10.0,34.836601,-3.06,2.61,47.73913,49.105145,-2.95,3.2,38.721311,57.462687,4223,3916,1950,3363
BHFAL,BHF,BB,10.5,12/2/2024,9/15/2023,,0.39,6.25%,26.35,20.69,c625,19.3,-1.39,-7.05,20.62,22.57,-6.39,-14.49,19.05,25.47,19.05,25.47,62.0,19.18,0.13,-6.29,77.856709,90.0,82.878338,84.117647,-7.17,-1.51,83.478261,85.973154,-6.29,0.13,82.52459,88.00995,19681,19960,19296,19646
BHFAM,BHF,,10.5,12/6/2024,,,0.29,4.63%,21.13,13.35,c450,13.31,-0.04,-7.82,14.61,16.07,-8.89,-17.17,13.08,18.88,13.03,18.95,66.0,13.23,0.15,-5.65,90.0,,82.403561,75.751634,-7.9,-0.12,89.826087,73.534676,-5.72,0.2,75.04918,87.313433,34251,25972,32136,30786
BHFAN,BHF,,10,12/6/2024,,,0.34,5.38%,22.69,15.27,c525,14.86,-0.41,-7.83,16.25,18.24,-8.54,-18.55,14.54,21.47,14.54,21.63,66.0,14.77,0.23,-6.7,88.299939,,80.504451,89.477124,-7.92,-0.5,90.0,76.935123,-6.86,0.23,90.0,87.014925,61802,59891,62539,61411
BHFAO,BHF,,10,12/6/2024,6/25/2025,,0.42,6.75%,26.51,21.17,c675,,-1.85,-7.19,20.59,23.11,-6.17,-16.39,18.53,25.7,18.53,26.0,66.0,19.21,0.68,-6.49,76.7881,,69.821958,86.732026,-7.3,-1.96,84.608696,90.0,-6.79,0.68,89.081967,82.537313,35357,35537,37303,36066
BHFAP,BHF,,10,12/6/2024,,,0.41,6.60%,26.1,20.01,c650,,-1.13,-7.22,20.14,22.4,-6.26,-15.72,18.38,25.51,18.38,25.51,66.0,18.77,0.39,-6.74,77.225258,,76.706231,90.0,-7.33,-1.24,84.869565,83.557047,-6.74,0.39,88.42623,85.422886,33073,33905,38842,35273
BOH PRA,BOH,,12,10/17/2024,8/1/2026,,0.27,4.38%,20.44,13.05,c425,15.71,2.66,-4.73,15.63,16.53,0.49,-4.94,14.51,19.1,12.86,19.24,16.0,15.49,0.98,-3.61,44.438373,49.895013,62.700297,49.084967,-4.95,2.44,64.173913,50.626398,-3.75,2.63,49.213115,63.134328,8946,6478,6744,7389
BWBBP,BWB,,NR,11/11/2024,8/17/2026,,0.37,5.88%,23.52,16.57,c575,18.52,1.95,-5.0,18.87,19.1,-1.87,-3.04,18.1,21.4,15.25,22.0,41.0,18.32,0.22,-3.08,55.901639,41.91601,80.74184,42.156863,-5.2,1.75,66.347826,56.800895,-3.68,3.07,48.295082,58.756219,2900,1887,2185,2324
CADE PRA,CADE,,NR,11/1/2024,11/20/2024,,0.34,5.50%,24.16,16.69,c550,20.67,3.98,-3.49,20.91,21.19,-1.16,-2.43,19.6,23.22,16.13,23.49,31.0,20.45,0.85,-2.77,52.452945,39.354331,65.78635,38.104575,-3.71,3.76,53.391304,38.814318,-3.04,4.32,39.901639,46.318408,9878,11125,10303,10436
CFG PRE,CFG,,10,12/18/2024,,,0.31,5.00%,22.34,16.2,c500,18.93,2.73,-3.41,19.26,20.3,-1.69,-6.74,17.99,22.68,15.17,23.38,78.0,18.89,0.9,-3.79,55.027322,57.454068,64.599407,51.437908,-3.45,2.69,51.130435,48.389262,-4.49,3.72,58.918033,52.288557,32735,29195,26352,29427
CFR PRB,CFR,,11.5,11/27/2024,,,0.28,4.45%,21.8,15.89,c450,17.25,1.36,-4.55,17.39,18.64,-0.8,-7.45,16.34,21.7,15.6,22.15,57.0,17.15,0.81,-4.55,50.704311,60.435696,66.735905,61.372549,-4.65,1.26,61.565217,61.185682,-5.0,1.55,65.606557,73.880597,9482,8719,8014,8738
CIM PRA,CIM,,NR,12/11/2024,10/21/2021,,0.5,8.00%,22.82,18.15,c775,22.03,3.88,-0.79,21.75,22.62,1.27,-2.62,19.85,24.56,17.33,24.56,71.0,21.92,2.07,-2.64,40.649666,40.152231,36.824926,36.405229,-0.9,3.77,28.956522,38.724832,-2.64,4.59,34.655738,43.631841,9058,10246,8230,9178
CIO PRA,CIO,,NR,1/8/2025,9/15/2021,,0.41,6.63%,24.0,15.06,c650,,4.05,-4.89,18.58,18.67,2.83,2.34,16.86,21.06,14.16,21.79,9.0,18.74,1.88,-2.32,33.072253,19.322835,41.335312,32.222222,-5.26,3.68,66.869565,39.530201,-3.05,4.58,40.032787,43.731343,11575,4019,6275,7290
CLDT PRA,CLDT,,NR,12/27/2024,,,0.41,6.63%,24.33,19.64,c650,,0.89,-3.8,20.34,21.47,0.91,-4.37,18.18,23.89,18.18,24.49,87.0,20.52,2.34,-3.37,42.3983,47.501312,30.41543,45.947712,-3.81,0.88,54.26087,64.58613,-3.97,2.34,52.098361,66.0199,4886,4834,1815,3845
CMS PRC,CMS,,10.5,1/2/2025,,,0.26,4.20%,20.81,17.98,c425,,-0.7,-3.53,17.17,18.44,0.66,-6.29,16.06,20.92,16.06,21.68,3.0,17.03,0.97,-3.89,43.612629,55.564304,62.937685,52.745098,-3.78,-0.95,54.0,80.961969,-4.65,0.97,61.016393,79.651741,17863,14301,16576,16247
CMSA,CMS,BB,11.5,11/29/2024,3/15/2023,,0.35,5.63%,26.19,21.25,c550,,0.15,-4.79,21.6,23.34,-0.95,-8.3,20.66,25.31,20.66,25.53,59.0,21.28,0.62,-4.03,51.432908,64.005249,71.246291,54.575163,-4.91,0.03,63.826087,72.192394,-4.25,0.62,55.770492,83.134328,11144,11824,15790,12919
CMSC,CMS,BB,11.5,12/27/2024,10/15/2023,,0.37,5.88%,25.19,21.74,c575,22.53,0.79,-2.66,22.48,23.72,0.24,-5.04,21.28,25.03,21.28,25.36,87.0,22.52,1.24,-2.51,45.652702,50.314961,56.52819,34.705882,-2.67,0.78,44.347826,65.480984,-2.84,1.24,37.278689,76.965174,31497,43971,99901,58456
CMSD,CMS,BB,11.5,11/15/2024,,,0.37,5.88%,25.59,21.91,c575,,0.62,-3.06,22.57,23.8,-0.17,-5.33,21.6,25.26,21.6,25.31,45.0,22.35,0.75,-2.91,47.644202,51.532808,68.160237,39.934641,-3.24,0.44,49.304348,68.52349,-2.96,0.75,38.852459,81.840796,43456,39767,30754,37992
CNO PRA,CNO,BB,NR,11/15/2024,11/25/2025,,0.32,5.13%,22.08,14.95,c500,17.41,2.46,-4.67,18.3,19.77,-4.84,-11.92,16.54,22.0,14.64,22.53,45.0,17.25,0.71,-4.75,70.327869,79.207349,69.109792,63.986928,-4.83,2.3,63.130435,51.879195,-5.28,2.61,69.278689,63.333333,1567,1319,1334,1407
COF PRI,COF,,10,11/13/2024,,,0.31,5.00%,23.21,16.12,c500,19.04,2.92,-4.17,19.04,19.93,0.02,-4.48,17.75,21.83,15.65,22.04,43.0,18.88,1.13,-2.95,46.721311,47.963255,59.139466,40.457516,-4.33,2.76,58.782609,47.762864,-3.16,3.23,41.47541,57.164179,104561,94219,101874,100218
COF PRJ,COF,,10,11/13/2024,,,0.3,4.80%,21.9,15.54,c475,17.95,2.41,-3.95,18.2,19.02,-1.38,-5.64,16.97,20.72,15.05,20.85,43.0,17.79,0.82,-2.93,53.521554,52.834646,66.498516,40.196078,-4.11,2.25,56.869565,52.326622,-3.06,2.74,40.163934,62.039801,100287,90939,80786,90671
COF PRK,COF,,10,11/13/2024,,,0.29,4.63%,22.17,14.99,c450,17.5,2.51,-4.67,17.59,18.73,-0.52,-6.55,16.46,20.85,14.64,21.07,43.0,17.35,0.89,-3.5,49.344262,56.656168,64.836795,47.647059,-4.82,2.36,63.043478,51.342282,-3.72,2.71,48.819672,62.338308,9192,9169,10897,9753
COF PRL,COF,,10,11/13/2024,,,0.27,4.38%,20.06,13.84,c425,16.61,2.77,-3.45,16.62,17.73,-0.07,-6.32,15.42,20.14,13.57,20.16,43.0,16.47,1.05,-3.67,47.15847,55.690289,61.038576,49.869281,-3.59,2.63,52.347826,48.926174,-3.69,2.9,48.42623,60.447761,46742,42724,36489,41985
COF PRN,COF,,10,11/13/2024,,,0.27,4.25%,19.94,13.68,c425,16.55,2.87,-3.39,16.39,17.28,0.97,-4.23,15.15,19.72,13.26,19.81,43.0,16.41,1.26,-3.31,42.106861,46.913386,56.053412,45.163399,-3.53,2.73,51.826087,48.03132,-3.4,3.15,44.622951,57.960199,33541,26085,21243,26957
CUBB,CUBI,BB,NR,12/13/2024,,,0.34,5.38%,23.56,18.75,c525,19.75,1.0,-3.81,19.86,19.99,-0.54,-1.2,18.3,21.85,16.89,22.0,73.0,19.69,1.39,-2.16,49.441409,34.188976,52.967359,30.130719,-3.87,0.94,54.782609,64.049217,-2.31,2.8,30.327869,61.442786,2185,2752,1207,2048
DCOMP,DCOM,,8,11/5/2024,2/15/2025,,0.34,5.50%,22.38,14.51,c550,18.28,3.76,-4.11,18.74,19.02,-2.5,-3.96,17.05,20.75,14.26,21.44,35.0,18.06,1.01,-2.69,58.961749,45.779528,61.988131,37.058824,-4.32,3.55,58.695652,40.693512,-3.38,3.8,44.360656,51.492537,5677,4303,5740,5240
DLR PRJ,DLR,,10.5,12/13/2024,,,0.33,5.25%,25.38,19.55,c525,20.97,1.41,-4.42,21.11,22.19,-0.72,-5.55,20.02,24.63,19.06,24.63,73.0,20.9,0.88,-3.73,50.315726,52.456693,65.074184,50.653595,-4.48,1.35,60.086957,60.380313,-3.73,1.84,48.95082,70.995025,12720,10598,7168,10162
DLR PRK,DLR,,10.5,12/13/2024,,,0.37,5.88%,26.4,22.0,c575,23.36,1.36,-3.04,23.37,24.17,-0.05,-3.33,22.1,25.41,21.4,25.61,73.0,23.29,1.19,-2.12,47.061324,43.133858,57.715134,29.607843,-3.11,1.29,48.173913,60.917226,-2.32,1.89,30.459016,70.497512,13232,14167,10693,12697
DLR PRL,DLR,,10.5,12/13/2024,,,0.33,5.20%,25.37,19.32,c525,20.12,0.8,-5.25,20.49,21.78,-1.8,-7.61,19.61,24.26,19.01,24.45,73.0,20.06,0.45,-4.2,55.561627,61.107612,75.281899,56.797386,-5.31,0.74,67.304348,65.838926,-4.39,1.05,57.606557,78.855721,19672,21987,20040,20566
DTB,DTE,BB,11.5,12/27/2024,,,0.27,4.38%,22.29,17.3,c425,17.51,0.21,-4.78,17.71,19.14,-1.12,-8.52,16.93,21.71,16.93,22.65,87.0,17.5,0.57,-4.21,52.258652,64.929134,72.433234,56.928105,-4.79,0.2,62.782609,70.671141,-5.15,0.57,67.57377,83.631841,15694,13002,17521,15406
DTG,DTE,BB,11.5,11/15/2024,,,0.27,4.38%,20.89,17.32,c425,17.23,-0.09,-3.66,17.62,19.19,-2.22,-10.2,16.71,22.05,16.71,22.25,45.0,17.09,0.38,-4.96,57.6017,71.984252,76.94362,66.732026,-3.8,-0.23,54.173913,74.519016,-5.16,0.38,67.704918,85.522388,22340,21985,17935,20753
DTW,DTE,BB,11.5,11/15/2024,12/1/2022,,0.33,5.25%,25.42,20.88,c525,21.27,0.39,-4.15,21.6,22.85,-1.54,-6.92,20.55,25.11,20.42,25.17,45.0,21.11,0.56,-4.0,54.298725,58.209974,72.670623,54.183007,-4.31,0.23,58.608696,70.402685,-4.06,0.69,53.278689,82.437811,22281,15966,16561,18269
DUK PRA,DUK,,11,11/15/2024,,,0.36,5.75%,26.49,22.91,c550,24.42,1.51,-2.07,24.79,24.97,-1.5,-2.21,24.06,25.59,22.71,25.66,45.0,24.24,0.18,-1.35,54.104432,38.430446,81.691395,19.542484,-2.25,1.33,40.695652,60.559284,-1.42,1.53,18.655738,74.079602,58524,59319,50080,55975
DUKB,DUK,BB,12,12/13/2024,,,0.35,5.63%,26.08,21.93,c550,23.92,1.99,-2.16,24.51,24.72,-2.43,-3.24,23.3,25.46,21.8,25.5,73.0,23.85,0.55,-1.61,58.621736,42.755906,72.908012,22.941176,-2.23,1.92,40.521739,55.279642,-1.65,2.05,21.672131,68.905473,27745,28548,31894,29395
ECF PRA,ECF,,16,12/16/2024,,,0.33,5.25%,24.84,21.83,c525,21.76,-0.07,-3.08,21.88,22.5,-0.53,-3.28,20.21,24.36,20.21,24.43,76.0,21.71,1.5,-2.65,49.392835,42.923885,50.356083,36.535948,-3.13,-0.12,48.347826,73.534676,-2.72,1.5,35.704918,74.378109,1241,936,447,875
EFSCP,EFSC,,NR,11/27/2024,,,0.31,5.00%,21.75,15.4,c500,19.76,4.36,-1.99,18.87,19.62,4.74,0.7,17.2,22.22,13.68,22.22,57.0,19.65,2.45,-2.57,23.794778,26.209974,27.804154,35.490196,-2.1,4.25,39.391304,34.42953,-2.57,5.97,33.737705,29.900498,2384,2106,1204,1898
ELC,ETR,BB,15,11/29/2024,,,0.3,4.88%,25.3,20.02,c475,20.19,0.17,-5.11,20.57,21.61,-1.83,-6.58,19.86,23.43,19.86,23.45,59.0,20.09,0.23,-3.34,55.707347,56.782152,80.504451,45.555556,-5.21,0.07,66.434783,71.834452,-3.36,0.23,44.098361,87.014925,12365,10434,10722,11173
EMP,ETR,BB,14.5,12/27/2024,,,0.31,4.90%,25.3,20.07,c475,20.62,0.55,-4.68,20.72,21.84,-0.49,-5.57,20.01,23.61,19.9,24.23,87.0,20.61,0.6,-3.0,49.198543,52.540682,71.721068,41.111111,-4.69,0.54,61.913043,67.628635,-3.62,0.71,47.508197,82.238806,11847,10946,9235,10676
